분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
171,경기도,고양시 덕양구,효자동,2019-10,3902240,773580,404.44
172,경기도,고양시 덕양구,효자동,2019-11,2396930,3902240,-38.58
173,경기도,고양시 덕양구,효자동,2019-12,5150490,2396930,114.88
174,경기도,고양시 덕양구,효자동,2020-01,4335240,5150490,-15.83
175,경기도,고양시 덕양구,효자동,2020-02,7766370,4335240,79.15
176,경기도,고양시 덕양구,효자동,2020-03,10086360,7766370,29.87
177,경기도,고양시 덕양구,흥도동,2019-09,30691760,30691760,0.00
178,경기도,고양시 덕양구,흥도동,2019-10,101054100,30691760,229.25
179,경기도,고양시 덕양구,흥도동,2019-11,86118366,101054100,-14.78
180,경기도,고양시 덕양구,흥도동,2019-12,169890693,86118366,97.28
181,경기도,고양시 덕양구,흥도동,2020-01,169940770,169890693,0.03
182,경기도,고양시 덕양구,흥도동,2020-02,168051164,169940770,-1.11
183,경기도,고양시 덕양구,흥도동,2020-03,202523954,168051164,20.51
184,경기도,고양시 일산동구,고봉동,2019-09,8790900,8790900,0.00
185,경기도,고양시 일산동구,고봉동,2019-10,12930365,8790900,47.09
186,경기도,고양시 일산동구,고봉동,2019-11,11810035,12930365,-8.66
187,경기도,고양시 일산동구,고봉동,2019-12,20012980,11810035,69.46
188,경기도,고양시 일산동구,고봉동,2020-01,19919570,20012980,-0.47
189,경기도,고양시 일산동구,고봉동,2020-02,25537415,19919570,28.20
190,경기도,고양시 일산동구,고봉동,2020-03,31514130,25537415,23.40
191,경기도,고양시 일산동구,마두1동,2019-09,38109690,38109690,0.00
192,경기도,고양시 일산동구,마두1동,2019-10,116997692,38109690,207.00
193,경기도,고양시 일산동구,마두1동,2019-11,98313181,116997692,-15.97
194,경기도,고양시 일산동구,마두1동,2019-12,199419520,98313181,102.84
195,경기도,고양시 일산동구,마두1동,2020-01,195056390,199419520,-2.19
196,경기도,고양시 일산동구,마두1동,2020-02,173314038,195056390,-11.15
197,경기도,고양시 일산동구,마두1동,2020-03,226407377,173314038,30.63
198,경기도,고양시 일산동구,마두2동,2019-09,31831900,31831900,0.00
199,경기도,고양시 일산동구,마두2동,2019-10,97784630,31831900,207.19
200,경기도,고양시 일산동구,마두2동,2019-11,82143570,97784630,-16.00
201,경기도,고양시 일산동구,마두2동,2019-12,156886561,82143570,90.99
202,경기도,고양시 일산동구,마두2동,2020-01,171806325,156886561,9.51
203,경기도,고양시 일산동구,마두2동,2020-02,174916483,171806325,1.81
204,경기도,고양시 일산동구,마두2동,2020-03,224362620,174916483,28.27
205,경기도,고양시 일산동구,백석1동,2019-09,16064920,16064920,0.00
206,경기도,고양시 일산동구,백석1동,2019-10,68337050,16064920,325.38
207,경기도,고양시 일산동구,백석1동,2019-11,57334600,68337050,-16.10
208,경기도,고양시 일산동구,백석1동,2019-12,105063403,57334600,83.25
209,경기도,고양시 일산동구,백석1동,2020-01,123489608,105063403,17.54
210,경기도,고양시 일산동구,백석1동,2020-02,124779310,123489608,1.04
211,경기도,고양시 일산동구,백석1동,2020-03,135613936,124779310,8.68
212,경기도,고양시 일산동구,백석2동,2019-09,13187470,13187470,0.00
213,경기도,고양시 일산동구,백석2동,2019-10,50217130,13187470,280.79
214,경기도,고양시 일산동구,백석2동,2019-11,34558110,50217130,-31.18
215,경기도,고양시 일산동구,백석2동,2019-12,74173680,34558110,114.63
216,경기도,고양시 일산동구,백석2동,2020-01,82000772,74173680,10.55
217,경기도,고양시 일산동구,백석2동,2020-02,70770470,82000772,-13.70
218,경기도,고양시 일산동구,백석2동,2020-03,91465600,70770470,29.24
219,경기도,고양시 일산동구,식사동,2019-09,31623310,31623310,0.00
220,경기도,고양시 일산동구,식사동,2019-10,99429915,31623310,214.42
221,경기도,고양시 일산동구,식사동,2019-11,83363890,99429915,-16.16
222,경기도,고양시 일산동구,식사동,2019-12,159920880,83363890,91.83
223,경기도,고양시 일산동구,식사동,2020-01,151312225,159920880,-5.38
224,경기도,고양시 일산동구,식사동,2020-02,158037815,151312225,4.44
225,경기도,고양시 일산동구,식사동,2020-03,197647298,158037815,25.06
226,경기도,고양시 일산동구,장항1동,2019-09,2428650,2428650,0.00
227,경기도,고양시 일산동구,장항1동,2019-10,6723080,2428650,176.82
228,경기도,고양시 일산동구,장항1동,2019-11,7635690,6723080,13.57
229,경기도,고양시 일산동구,장항1동,2019-12,11192530,7635690,46.58
230,경기도,고양시 일산동구,장항1동,2020-01,11550900,11192530,3.20
231,경기도,고양시 일산동구,장항1동,2020-02,13613220,11550900,17.85
232,경기도,고양시 일산동구,장항1동,2020-03,19727920,13613220,44.92
233,경기도,고양시 일산동구,장항2동,2019-09,52280615,52280615,0.00
234,경기도,고양시 일산동구,장항2동,2019-10,172064045,52280615,229.12
235,경기도,고양시 일산동구,장항2동,2019-11,148838816,172064045,-13.50
236,경기도,고양시 일산동구,장항2동,2019-12,237689371,148838816,59.70
237,경기도,고양시 일산동구,장항2동,2020-01,261389431,237689371,9.97
238,경기도,고양시 일산동구,장항2동,2020-02,304278095,261389431,16.41
239,경기도,고양시 일산동구,장항2동,2020-03,357173095,304278095,17.38
240,경기도,고양시 일산동구,정발산동,2019-09,15320160,15320160,0.00
241,경기도,고양시 일산동구,정발산동,2019-10,56079208,15320160,266.05
242,경기도,고양시 일산동구,정발산동,2019-11,53265930,56079208,-5.02
243,경기도,고양시 일산동구,정발산동,2019-12,84650960,53265930,58.92
244,경기도,고양시 일산동구,정발산동,2020-01,87962910,84650960,3.91
245,경기도,고양시 일산동구,정발산동,2020-02,106118690,87962910,20.64
246,경기도,고양시 일산동구,정발산동,2020-03,104028595,106118690,-1.97
247,경기도,고양시 일산동구,중산동,2019-09,20992880,20992880,0.00
248,경기도,고양시 일산동구,중산동,2019-10,69668937,20992880,231.87
249,경기도,고양시 일산동구,중산동,2019-11,59421182,69668937,-14.71
250,경기도,고양시 일산동구,중산동,2019-12,109024735,59421182,83.48
251,경기도,고양시 일산동구,중산동,2020-01,98662205,109024735,-9.50
252,경기도,고양시 일산동구,중산동,2020-02,112870652,98662205,14.40
253,경기도,고양시 일산동구,중산동,2020-03,112604457,112870652,-0.24
254,경기도,고양시 일산동구,풍산동,2019-09,40068934,40068934,0.00
255,경기도,고양시 일산동구,풍산동,2019-10,130995850,40068934,226.93
256,경기도,고양시 일산동구,풍산동,2019-11,112667169,130995850,-13.99
257,경기도,고양시 일산동구,풍산동,2019-12,205423101,112667169,82.33
258,경기도,고양시 일산동구,풍산동,2020-01,205517437,205423101,0.05
259,경기도,고양시 일산동구,풍산동,2020-02,218748247,205517437,6.44
260,경기도,고양시 일산동구,풍산동,2020-03,228711352,218748247,4.55
261,경기도,고양시 일산서구,대화동,2019-09,20385860,20385860,0.00
262,경기도,고양시 일산서구,대화동,2019-10,77138930,20385860,278.39
263,경기도,고양시 일산서구,대화동,2019-11,68082675,77138930,-11.74
264,경기도,고양시 일산서구,대화동,2019-12,133801079,68082675,96.53
265,경기도,고양시 일산서구,대화동,2020-01,110250606,133801079,-17.60
266,경기도,고양시 일산서구,대화동,2020-02,141284089,110250606,28.15
267,경기도,고양시 일산서구,대화동,2020-03,142278292,141284089,0.70
268,경기도,고양시 일산서구,송산동,2019-09,29157120,29157120,0.00
269,경기도,고양시 일산서구,송산동,2019-10,70125250,29157120,140.51
270,경기도,고양시 일산서구,송산동,2019-11,57607730,70125250,-17.85
271,경기도,고양시 일산서구,송산동,2019-12,119193564,57607730,106.91
272,경기도,고양시 일산서구,송산동,2020-01,110874002,119193564,-6.98
273,경기도,고양시 일산서구,송산동,2020-02,115622271,110874002,4.28
274,경기도,고양시 일산서구,송산동,2020-03,155051492,115622271,34.10
275,경기도,고양시 일산서구,송포동,2019-09,13054650,13054650,0.00
276,경기도,고양시 일산서구,송포동,2019-10,48407552,13054650,270.81
277,경기도,고양시 일산서구,송포동,2019-11,38081490,48407552,-21.33
278,경기도,고양시 일산서구,송포동,2019-12,81126697,38081490,113.03
279,경기도,고양시 일산서구,송포동,2020-01,69873150,81126697,-13.87
280,경기도,고양시 일산서구,송포동,2020-02,85509420,69873150,22.38
281,경기도,고양시 일산서구,송포동,2020-03,100066910,85509420,17.02
282,경기도,고양시 일산서구,일산1동,2019-09,7493630,7493630,0.00
283,경기도,고양시 일산서구,일산1동,2019-10,24028380,7493630,220.65
284,경기도,고양시 일산서구,일산1동,2019-11,21475718,24028380,-10.62
285,경기도,고양시 일산서구,일산1동,2019-12,40503780,21475718,88.60
286,경기도,고양시 일산서구,일산1동,2020-01,39047090,40503780,-3.60
287,경기도,고양시 일산서구,일산1동,2020-02,43963570,39047090,12.59
288,경기도,고양시 일산서구,일산1동,2020-03,39024600,43963570,-11.23
289,경기도,고양시 일산서구,일산2동,2019-09,12261577,12261577,0.00
290,경기도,고양시 일산서구,일산2동,2019-10,46292810,12261577,277.54
291,경기도,고양시 일산서구,일산2동,2019-11,43866000,46292810,-5.24
292,경기도,고양시 일산서구,일산2동,2019-12,73972000,43866000,68.63
293,경기도,고양시 일산서구,일산2동,2020-01,71059491,73972000,-3.94
294,경기도,고양시 일산서구,일산2동,2020-02,75773500,71059491,6.63
295,경기도,고양시 일산서구,일산2동,2020-03,77106312,75773500,1.76
296,경기도,고양시 일산서구,일산3동,2019-09,44706440,44706440,0.00
297,경기도,고양시 일산서구,일산3동,2019-10,143057680,44706440,219.99
298,경기도,고양시 일산서구,일산3동,2019-11,134902922,143057680,-5.70
299,경기도,고양시 일산서구,일산3동,2019-12,254065940,134902922,88.33
300,경기도,고양시 일산서구,일산3동,2020-01,289666772,254065940,14.01
301,경기도,고양시 일산서구,일산3동,2020-02,251613831,289666772,-13.14
302,경기도,고양시 일산서구,일산3동,2020-03,301853821,251613831,19.97
303,경기도,고양시 일산서구,장항1동,2019-09,133800,133800,0.00
304,경기도,고양시 일산서구,장항1동,2019-10,535500,133800,300.22
305,경기도,고양시 일산서구,장항1동,2019-11,862500,535500,61.06
306,경기도,고양시 일산서구,장항1동,2019-12,1061600,862500,23.08
307,경기도,고양시 일산서구,장항1동,2020-01,526800,1061600,-50.38
308,경기도,고양시 일산서구,장항1동,2020-02,1098500,526800,108.52
309,경기도,고양시 일산서구,장항1동,2020-03,1095500,1098500,-0.27
310,경기도,고양시 일산서구,정발산동,2019-09,1365760,1365760,0.00
311,경기도,고양시 일산서구,정발산동,2019-10,7120440,1365760,421.35
312,경기도,고양시 일산서구,정발산동,2019-11,7660080,7120440,7.58
313,경기도,고양시 일산서구,정발산동,2019-12,13447210,7660080,75.55
314,경기도,고양시 일산서구,정발산동,2020-01,10685810,13447210,-20.54
315,경기도,고양시 일산서구,정발산동,2020-02,11610470,10685810,8.65
316,경기도,고양시 일산서구,정발산동,2020-03,13197060,11610470,13.67
317,경기도,고양시 일산서구,주엽1동,2019-09,52485060,52485060,0.00
318,경기도,고양시 일산서구,주엽1동,2019-10,168314535,52485060,220.69
319,경기도,고양시 일산서구,주엽1동,2019-11,151578433,168314535,-9.94
320,경기도,고양시 일산서구,주엽1동,2019-12,290738338,151578433,91.81
321,경기도,고양시 일산서구,주엽1동,2020-01,332751445,290738338,14.45
322,경기도,고양시 일산서구,주엽1동,2020-02,303502790,332751445,-8.79
323,경기도,고양시 일산서구,주엽1동,2020-03,340613269,303502790,12.23
324,경기도,고양시 일산서구,주엽2동,2019-09,64050020,64050020,0.00
325,경기도,고양시 일산서구,주엽2동,2019-10,205932190,64050020,221.52
326,경기도,고양시 일산서구,주엽2동,2019-11,192483055,205932190,-6.53
327,경기도,고양시 일산서구,주엽2동,2019-12,362538140,192483055,88.35
328,경기도,고양시 일산서구,주엽2동,2020-01,404551012,362538140,11.59
329,경기도,고양시 일산서구,주엽2동,2020-02,356855491,404551012,-11.79
330,경기도,고양시 일산서구,주엽2동,2020-03,411728244,356855491,15.38
331,경기도,고양시 일산서구,탄현동,2019-09,23689710,23689710,0.00
332,경기도,고양시 일산서구,탄현동,2019-10,80269465,23689710,238.84
333,경기도,고양시 일산서구,탄현동,2019-11,72929570,80269465,-9.14
334,경기도,고양시 일산서구,탄현동,2019-12,127526240,72929570,74.86
335,경기도,고양시 일산서구,탄현동,2020-01,114911866,127526240,-9.89
336,경기도,고양시 일산서구,탄현동,2020-02,112031374,114911866,-2.51
337,경기도,고양시 일산서구,탄현동,2020-03,118792302,112031374,6.03
338,경기도,과천시,갈현동,2019-09,19310050,19310050,0.00
339,경기도,과천시,갈현동,2019-10,68253090,19310050,253.46
340,경기도,과천시,갈현동,2019-11,72212550,68253090,5.80
341,경기도,과천시,갈현동,2019-12,101918407,72212550,41.14
342,경기도,과천시,갈현동,2020-01,94292590,101918407,-7.48
343,경기도,과천시,갈현동,2020-02,97105902,94292590,2.98
344,경기도,과천시,갈현동,2020-03,122114369,97105902,25.75
345,경기도,과천시,과천동,2019-09,4500745,4500745,0.00
346,경기도,과천시,과천동,2019-10,13892625,4500745,208.67
347,경기도,과천시,과천동,2019-11,11448325,13892625,-17.59
348,경기도,과천시,과천동,2019-12,15549414,11448325,35.82
349,경기도,과천시,과천동,2020-01,14570587,15549414,-6.29
350,경기도,과천시,과천동,2020-02,14656284,14570587,0.59
351,경기도,과천시,과천동,2020-03,17326601,14656284,18.22
352,경기도,과천시,문원동,2019-09,3672640,3672640,0.00
353,경기도,과천시,문원동,2019-10,9613230,3672640,161.75
354,경기도,과천시,문원동,2019-11,7475956,9613230,-22.23
355,경기도,과천시,문원동,2019-12,9716683,7475956,29.97
